weather_id,store_id,weather_condition,date
154,34,Snowy,2019-01-03
155,35,Overcast,2019-01-03
156,36,Sleet,2019-01-03
157,37,Snowy,2019-01-03
158,38,Cloudy,2019-01-03
159,39,Windy,2019-01-03
160,40,Cold,2019-01-03
161,41,Snowy,2019-01-03
162,42,Sleet,2019-01-03
163,43,Cloudy,2019-01-03
164,44,Windy,2019-01-03
165,45,Overcast,2019-01-03
166,46,Snowy,2019-01-03
167,47,Sleet,2019-01-03
168,48,Cloudy,2019-01-03
169,49,Sleet,2019-01-03
170,50,Cold,2019-01-03
171,51,Cold,2019-01-03
172,52,Cloudy,2019-01-03
173,53,Cold,2019-01-03
174,54,Freezing,2019-01-03
175,55,Freezing,2019-01-03
176,56,Overcast,2019-01-03
177,57,Overcast,2019-01-03
178,58,Snowy,2019-01-03
179,59,Snowy,2019-01-03
180,60,Cloudy,2019-01-03
181,1,Cloudy,2019-01-04
182,2,Cloudy,2019-01-04
183,3,Windy,2019-01-04
184,4,Overcast,2019-01-04
185,5,Cloudy,2019-01-04
186,6,Snowy,2019-01-04
187,7,Cold,2019-01-04
188,8,Cloudy,2019-01-04
189,9,Sleet,2019-01-04
190,10,Sleet,2019-01-04
191,11,Sleet,2019-01-04
192,12,Snowy,2019-01-04
193,13,Freezing,2019-01-04
194,14,Windy,2019-01-04
195,15,Snowy,2019-01-04
196,16,Overcast,2019-01-04
197,17,Snowy,2019-01-04
198,18,Sleet,2019-01-04
199,19,Overcast,2019-01-04
200,20,Windy,2019-01-04
201,21,Freezing,2019-01-04
202,22,Freezing,2019-01-04
203,23,Cold,2019-01-04
204,24,Freezing,2019-01-04
205,25,Sleet,2019-01-04
206,26,Sleet,2019-01-04
207,27,Sleet,2019-01-04
208,28,Windy,2019-01-04
209,29,Cloudy,2019-01-04
210,30,Windy,2019-01-04
211,31,Snowy,2019-01-04
212,32,Snowy,2019-01-04
213,33,Freezing,2019-01-04
214,34,Windy,2019-01-04
215,35,Cloudy,2019-01-04
216,36,Cold,2019-01-04
217,37,Windy,2019-01-04
218,38,Freezing,2019-01-04
219,39,Overcast,2019-01-04
220,40,Sleet,2019-01-04
221,41,Sleet,2019-01-04
222,42,Freezing,2019-01-04
223,43,Sleet,2019-01-04
224,44,Snowy,2019-01-04
225,45,Cold,2019-01-04
226,46,Freezing,2019-01-04
227,47,Freezing,2019-01-04
228,48,Freezing,2019-01-04
229,49,Windy,2019-01-04
230,50,Freezing,2019-01-04
231,51,Overcast,2019-01-04
232,52,Freezing,2019-01-04
233,53,Windy,2019-01-04
234,54,Sleet,2019-01-04
235,55,Overcast,2019-01-04
236,56,Cloudy,2019-01-04
237,57,Windy,2019-01-04
238,58,Freezing,2019-01-04
239,59,Snowy,2019-01-04
240,60,Overcast,2019-01-04
241,1,Sleet,2019-01-05
242,2,Snowy,2019-01-05
243,3,Freezing,2019-01-05
244,4,Overcast,2019-01-05
245,5,Windy,2019-01-05
246,6,Overcast,2019-01-05
247,7,Snowy,2019-01-05
248,8,Windy,2019-01-05
249,9,Snowy,2019-01-05
250,10,Windy,2019-01-05
251,11,Cloudy,2019-01-05
252,12,Cloudy,2019-01-05
253,13,Freezing,2019-01-05
254,14,Snowy,2019-01-05
255,15,Cloudy,2019-01-05
256,16,Overcast,2019-01-05
257,17,Snowy,2019-01-05
258,18,Freezing,2019-01-05
259,19,Freezing,2019-01-05
260,20,Cloudy,2019-01-05
261,21,Freezing,2019-01-05
262,22,Freezing,2019-01-05
263,23,Windy,2019-01-05
264,24,Overcast,2019-01-05
265,25,Sleet,2019-01-05
266,26,Cold,2019-01-05
267,27,Cloudy,2019-01-05
268,28,Cloudy,2019-01-05
269,29,Freezing,2019-01-05
270,30,Cold,2019-01-05
271,31,Windy,2019-01-05
272,32,Snowy,2019-01-05
273,33,Sleet,2019-01-05
274,34,Freezing,2019-01-05
275,35,Cold,2019-01-05
276,36,Overcast,2019-01-05
277,37,Windy,2019-01-05
278,38,Overcast,2019-01-05
279,39,Sleet,2019-01-05
280,40,Windy,2019-01-05
281,41,Windy,2019-01-05
282,42,Windy,2019-01-05
283,43,Cloudy,2019-01-05
284,44,Cold,2019-01-05
285,45,Windy,2019-01-05
286,46,Overcast,2019-01-05
287,47,Windy,2019-01-05
288,48,Cloudy,2019-01-05
289,49,Snowy,2019-01-05
290,50,Sleet,2019-01-05
291,51,Sleet,2019-01-05
292,52,Sleet,2019-01-05
293,53,Cloudy,2019-01-05
294,54,Sleet,2019-01-05
295,55,Sleet,2019-01-05
296,56,Freezing,2019-01-05
297,57,Cloudy,2019-01-05
298,58,Cold,2019-01-05
299,59,Windy,2019-01-05
300,60,Freezing,2019-01-05
301,1,Cloudy,2019-01-06
302,2,Freezing,2019-01-06
303,3,Cold,2019-01-06
304,4,Snowy,2019-01-06
305,5,Windy,2019-01-06
306,6,Cold,2019-01-06
307,7,Snowy,2019-01-06
308,8,Windy,2019-01-06
309,9,Windy,2019-01-06
310,10,Freezing,2019-01-06
311,11,Sleet,2019-01-06
312,12,Overcast,2019-01-06
313,13,Overcast,2019-01-06
314,14,Sleet,2019-01-06
315,15,Snowy,2019-01-06
316,16,Sleet,2019-01-06
317,17,Freezing,2019-01-06
318,18,Windy,2019-01-06
319,19,Overcast,2019-01-06
320,20,Snowy,2019-01-06
321,21,Snowy,2019-01-06
322,22,Cold,2019-01-06
323,23,Freezing,2019-01-06
324,24,Freezing,2019-01-06
325,25,Windy,2019-01-06
326,26,Snowy,2019-01-06
327,27,Windy,2019-01-06
328,28,Sleet,2019-01-06
329,29,Sleet,2019-01-06
330,30,Overcast,2019-01-06
331,31,Cold,2019-01-06
332,32,Sleet,2019-01-06
333,33,Cold,2019-01-06
334,34,Freezing,2019-01-06
335,35,Snowy,2019-01-06
336,36,Cloudy,2019-01-06
337,37,Windy,2019-01-06
338,38,Overcast,2019-01-06
339,39,Sleet,2019-01-06
340,40,Cloudy,2019-01-06
341,41,Overcast,2019-01-06
342,42,Snowy,2019-01-06
343,43,Windy,2019-01-06
344,44,Snowy,2019-01-06
345,45,Overcast,2019-01-06
346,46,Cold,2019-01-06
347,47,Cold,2019-01-06
348,48,Sleet,2019-01-06
349,49,Snowy,2019-01-06
350,50,Windy,2019-01-06
351,51,Windy,2019-01-06
352,52,Sleet,2019-01-06
353,53,Sleet,2019-01-06
354,54,Cold,2019-01-06
355,55,Cold,2019-01-06
356,56,Windy,2019-01-06
357,57,Overcast,2019-01-06
358,58,Cloudy,2019-01-06
359,59,Cold,2019-01-06
360,60,Freezing,2019-01-06
361,1,Cold,2019-01-07
362,2,Sleet,2019-01-07
363,3,Snowy,2019-01-07
364,4,Snowy,2019-01-07
365,5,Sleet,2019-01-07
366,6,Cloudy,2019-01-07
367,7,Sleet,2019-01-07
368,8,Cold,2019-01-07
369,9,Windy,2019-01-07
370,10,Sleet,2019-01-07
371,11,Freezing,2019-01-07
372,12,Freezing,2019-01-07
373,13,Overcast,2019-01-07
374,14,Snowy,2019-01-07
375,15,Windy,2019-01-07
376,16,Cold,2019-01-07
377,17,Cold,2019-01-07
378,18,Windy,2019-01-07
379,19,Sleet,2019-01-07
380,20,Snowy,2019-01-07
381,21,Cold,2019-01-07
382,22,Freezing,2019-01-07
383,23,Cloudy,2019-01-07
384,24,Windy,2019-01-07
385,25,Freezing,2019-01-07
386,26,Cold,2019-01-07
387,27,Windy,2019-01-07
388,28,Sleet,2019-01-07
389,29,Windy,2019-01-07
390,30,Snowy,2019-01-07
391,31,Snowy,2019-01-07
392,32,Cloudy,2019-01-07
393,33,Windy,2019-01-07
394,34,Overcast,2019-01-07
395,35,Cold,2019-01-07
396,36,Cold,2019-01-07
397,37,Cold,2019-01-07
398,38,Cloudy,2019-01-07
399,39,Windy,2019-01-07
400,40,Windy,2019-01-07
401,41,Cold,2019-01-07
402,42,Cloudy,2019-01-07
403,43,Cloudy,2019-01-07
404,44,Snowy,2019-01-07
405,45,Snowy,2019-01-07
406,46,Cold,2019-01-07
407,47,Freezing,2019-01-07
408,48,Windy,2019-01-07
409,49,Cloudy,2019-01-07
410,50,Cold,2019-01-07
411,51,Snowy,2019-01-07
412,52,Freezing,2019-01-07
413,53,Windy,2019-01-07
414,54,Windy,2019-01-07
415,55,Cloudy,2019-01-07
416,56,Sleet,2019-01-07
417,57,Sleet,2019-01-07
418,58,Cloudy,2019-01-07
419,59,Freezing,2019-01-07
420,60,Snowy,2019-01-07
421,1,Windy,2019-01-08
422,2,Sleet,2019-01-08
423,3,Snowy,2019-01-08
424,4,Overcast,2019-01-08
425,5,Windy,2019-01-08
426,6,Cloudy,2019-01-08
427,7,Windy,2019-01-08
428,8,Freezing,2019-01-08
429,9,Cold,2019-01-08
430,10,Cold,2019-01-08
431,11,Snowy,2019-01-08
432,12,Windy,2019-01-08
433,13,Snowy,2019-01-08
434,14,Freezing,2019-01-08
435,15,Sleet,2019-01-08
436,16,Freezing,2019-01-08
437,17,Cloudy,2019-01-08
438,18,Overcast,2019-01-08
439,19,Cold,2019-01-08
440,20,Freezing,2019-01-08
441,21,Windy,2019-01-08
442,22,Sleet,2019-01-08
443,23,Cold,2019-01-08
444,24,Windy,2019-01-08
445,25,Cloudy,2019-01-08
446,26,Overcast,2019-01-08
447,27,Sleet,2019-01-08
448,28,Freezing,2019-01-08
449,29,Cold,2019-01-08
450,30,Cloudy,2019-01-08
451,31,Snowy,2019-01-08
452,32,Windy,2019-01-08
453,33,Overcast,2019-01-08
454,34,Freezing,2019-01-08
455,35,Overcast,2019-01-08
456,36,Windy,2019-01-08
457,37,Cold,2019-01-08
458,38,Cold,2019-01-08
459,39,Sleet,2019-01-08
460,40,Freezing,2019-01-08
461,41,Overcast,2019-01-08
462,42,Cold,2019-01-08
463,43,Snowy,2019-01-08
464,44,Freezing,2019-01-08
465,45,Cold,2019-01-08
466,46,Windy,2019-01-08
467,47,Cloudy,2019-01-08
468,48,Windy,2019-01-08
469,49,Overcast,2019-01-08
470,50,Sleet,2019-01-08
471,51,Freezing,2019-01-08
472,52,Freezing,2019-01-08
473,53,Overcast,2019-01-08
474,54,Sleet,2019-01-08
475,55,Windy,2019-01-08
476,56,Snowy,2019-01-08
477,57,Sleet,2019-01-08
478,58,Sleet,2019-01-08
479,59,Cold,2019-01-08
480,60,Cloudy,2019-01-08
481,1,Overcast,2019-01-09
482,2,Cold,2019-01-09
483,3,Cloudy,2019-01-09
484,4,Snowy,2019-01-09
485,5,Cold,2019-01-09
486,6,Cold,2019-01-09
487,7,Cold,2019-01-09
488,8,Snowy,2019-01-09
489,9,Sleet,2019-01-09
490,10,Windy,2019-01-09
491,11,Overcast,2019-01-09
492,12,Cloudy,2019-01-09
493,13,Windy,2019-01-09
494,14,Overcast,2019-01-09
495,15,Snowy,2019-01-09
496,16,Sleet,2019-01-09
497,17,Snowy,2019-01-09
498,18,Snowy,2019-01-09
499,19,Overcast,2019-01-09
500,20,Cold,2019-01-09
501,21,Windy,2019-01-09
502,22,Snowy,2019-01-09
503,23,Windy,2019-01-09
504,24,Cloudy,2019-01-09
505,25,Windy,2019-01-09
506,26,Windy,2019-01-09
507,27,Freezing,2019-01-09
508,28,Freezing,2019-01-09
509,29,Sleet,2019-01-09
510,30,Freezing,2019-01-09
511,31,Windy,2019-01-09
512,32,Windy,2019-01-09
513,33,Cloudy,2019-01-09
514,34,Snowy,2019-01-09
515,35,Cold,2019-01-09
516,36,Windy,2019-01-09
517,37,Windy,2019-01-09
518,38,Freezing,2019-01-09
519,39,Snowy,2019-01-09
520,40,Cold,2019-01-09
521,41,Snowy,2019-01-09
522,42,Overcast,2019-01-09
523,43,Overcast,2019-01-09
524,44,Cold,2019-01-09
525,45,Cloudy,2019-01-09
526,46,Cold,2019-01-09
527,47,Freezing,2019-01-09
528,48,Snowy,2019-01-09
529,49,Windy,2019-01-09
530,50,Cloudy,2019-01-09
531,51,Snowy,2019-01-09
532,52,Sleet,2019-01-09
533,53,Overcast,2019-01-09
534,54,Cloudy,2019-01-09
535,55,Snowy,2019-01-09
536,56,Overcast,2019-01-09
537,57,Freezing,2019-01-09
538,58,Freezing,2019-01-09
539,59,Cloudy,2019-01-09
540,60,Cloudy,2019-01-09
541,1,Freezing,2019-01-10
542,2,Cloudy,2019-01-10
543,3,Freezing,2019-01-10
544,4,Sleet,2019-01-10
545,5,Sleet,2019-01-10
546,6,Cloudy,2019-01-10
547,7,Sleet,2019-01-10
548,8,Overcast,2019-01-10
549,9,Windy,2019-01-10
550,10,Cloudy,2019-01-10
551,11,Sleet,2019-01-10
552,12,Cold,2019-01-10
553,13,Freezing,2019-01-10
554,14,Cold,2019-01-10
555,15,Sleet,2019-01-10
556,16,Sleet,2019-01-10
557,17,Windy,2019-01-10
558,18,Snowy,2019-01-10
559,19,Snowy,2019-01-10
560,20,Sleet,2019-01-10
561,21,Snowy,2019-01-10
562,22,Cloudy,2019-01-10
563,23,Cold,2019-01-10
564,24,Snowy,2019-01-10
565,25,Cold,2019-01-10
566,26,Freezing,2019-01-10
567,27,Freezing,2019-01-10
568,28,Cloudy,2019-01-10
569,29,Sleet,2019-01-10
570,30,Cloudy,2019-01-10
571,31,Freezing,2019-01-10
572,32,Snowy,2019-01-10
573,33,Cloudy,2019-01-10
574,34,Sleet,2019-01-10
575,35,Freezing,2019-01-10
576,36,Sleet,2019-01-10
577,37,Freezing,2019-01-10
578,38,Windy,2019-01-10
579,39,Windy,2019-01-10
580,40,Overcast,2019-01-10
581,41,Cloudy,2019-01-10
582,42,Cold,2019-01-10
583,43,Cold,2019-01-10
584,44,Snowy,2019-01-10
585,45,Snowy,2019-01-10
586,46,Cold,2019-01-10
587,47,Cold,2019-01-10
588,48,Freezing,2019-01-10
589,49,Cold,2019-01-10
590,50,Cold,2019-01-10
591,51,Cold,2019-01-10
592,52,Sleet,2019-01-10
593,53,Snowy,2019-01-10
594,54,Sleet,2019-01-10
595,55,Sleet,2019-01-10
596,56,Freezing,2019-01-10
597,57,Cold,2019-01-10
598,58,Cold,2019-01-10
599,59,Cloudy,2019-01-10
600,60,Cloudy,2019-01-10
601,1,Cold,2019-01-11
602,2,Cloudy,2019-01-11
603,3,Windy,2019-01-11
604,4,Windy,2019-01-11
605,5,Cloudy,2019-01-11
606,6,Freezing,2019-01-11
607,7,Snowy,2019-01-11
608,8,Windy,2019-01-11
609,9,Overcast,2019-01-11
610,10,Overcast,2019-01-11
611,11,Overcast,2019-01-11
612,12,Sleet,2019-01-11
613,13,Cloudy,2019-01-11
614,14,Cloudy,2019-01-11
615,15,Cold,2019-01-11
616,16,Snowy,2019-01-11
617,17,Snowy,2019-01-11
618,18,Snowy,2019-01-11
619,19,Freezing,2019-01-11
620,20,Cold,2019-01-11
621,21,Overcast,2019-01-11
622,22,Cold,2019-01-11
623,23,Sleet,2019-01-11
624,24,Windy,2019-01-11
625,25,Windy,2019-01-11
626,26,Snowy,2019-01-11
627,27,Windy,2019-01-11
628,28,Windy,2019-01-11
629,29,Overcast,2019-01-11
630,30,Cloudy,2019-01-11
631,31,Overcast,2019-01-11
632,32,Cold,2019-01-11
633,33,Cloudy,2019-01-11
634,34,Snowy,2019-01-11
635,35,Sleet,2019-01-11
636,36,Windy,2019-01-11
637,37,Sleet,2019-01-11
638,38,Sleet,2019-01-11
639,39,Cloudy,2019-01-11
640,40,Freezing,2019-01-11
641,41,Cold,2019-01-11
642,42,Snowy,2019-01-11
643,43,Cloudy,2019-01-11
644,44,Cloudy,2019-01-11
645,45,Cloudy,2019-01-11
646,46,Windy,2019-01-11
647,47,Snowy,2019-01-11
648,48,Cloudy,2019-01-11
649,49,Windy,2019-01-11
650,50,Snowy,2019-01-11
651,51,Sleet,2019-01-11
652,52,Windy,2019-01-11
653,53,Windy,2019-01-11
654,54,Cloudy,2019-01-11
655,55,Windy,2019-01-11
656,56,Cold,2019-01-11
657,57,Snowy,2019-01-11
658,58,Snowy,2019-01-11
659,59,Snowy,2019-01-11
660,60,Snowy,2019-01-11
661,1,Overcast,2019-01-12
662,2,Windy,2019-01-12
663,3,Snowy,2019-01-12
664,4,Snowy,2019-01-12
665,5,Cloudy,2019-01-12
666,6,Windy,2019-01-12
667,7,Freezing,2019-01-12
668,8,Sleet,2019-01-12
669,9,Snowy,2019-01-12
670,10,Snowy,2019-01-12
671,11,Windy,2019-01-12
672,12,Freezing,2019-01-12
673,13,Cold,2019-01-12
674,14,Cloudy,2019-01-12
675,15,Snowy,2019-01-12
676,16,Freezing,2019-01-12
677,17,Overcast,2019-01-12
678,18,Freezing,2019-01-12
679,19,Windy,2019-01-12
680,20,Sleet,2019-01-12
681,21,Sleet,2019-01-12
682,22,Overcast,2019-01-12
683,23,Windy,2019-01-12
684,24,Sleet,2019-01-12
685,25,Cloudy,2019-01-12
686,26,Freezing,2019-01-12
687,27,Snowy,2019-01-12
688,28,Snowy,2019-01-12
689,29,Cold,2019-01-12
690,30,Overcast,2019-01-12
691,31,Windy,2019-01-12
692,32,Overcast,2019-01-12
693,33,Freezing,2019-01-12
694,34,Cold,2019-01-12
695,35,Sleet,2019-01-12
696,36,Cloudy,2019-01-12
697,37,Cloudy,2019-01-12
698,38,Cold,2019-01-12
699,39,Cold,2019-01-12
700,40,Sleet,2019-01-12
701,41,Windy,2019-01-12
702,42,Cloudy,2019-01-12
703,43,Windy,2019-01-12
704,44,Overcast,2019-01-12
705,45,Cold,2019-01-12
706,46,Windy,2019-01-12
707,47,Overcast,2019-01-12
708,48,Cold,2019-01-12
709,49,Cloudy,2019-01-12
710,50,Overcast,2019-01-12
711,51,Snowy,2019-01-12
712,52,Cold,2019-01-12
713,53,Freezing,2019-01-12
714,54,Windy,2019-01-12
715,55,Cold,2019-01-12
716,56,Cold,2019-01-12
717,57,Freezing,2019-01-12
718,58,Freezing,2019-01-12
719,59,Overcast,2019-01-12
720,60,Overcast,2019-01-12
721,1,Overcast,2019-01-13
722,2,Windy,2019-01-13
723,3,Snowy,2019-01-13
724,4,Sleet,2019-01-13
725,5,Windy,2019-01-13
726,6,Sleet,2019-01-13
727,7,Overcast,2019-01-13
728,8,Windy,2019-01-13
729,9,Cloudy,2019-01-13
730,10,Cloudy,2019-01-13
731,11,Sleet,2019-01-13
732,12,Freezing,2019-01-13
733,13,Sleet,2019-01-13
734,14,Sleet,2019-01-13
735,15,Windy,2019-01-13
736,16,Sleet,2019-01-13
737,17,Freezing,2019-01-13
738,18,Freezing,2019-01-13
739,19,Cold,2019-01-13
740,20,Overcast,2019-01-13
741,21,Freezing,2019-01-13
742,22,Overcast,2019-01-13
743,23,Cold,2019-01-13
744,24,Overcast,2019-01-13
745,25,Overcast,2019-01-13
746,26,Snowy,2019-01-13
747,27,Freezing,2019-01-13
748,28,Sleet,2019-01-13
749,29,Cold,2019-01-13
750,30,Windy,2019-01-13
751,31,Snowy,2019-01-13
752,32,Cold,2019-01-13
753,33,Windy,2019-01-13
754,34,Cloudy,2019-01-13
755,35,Windy,2019-01-13
756,36,Freezing,2019-01-13
757,37,Freezing,2019-01-13
758,38,Cloudy,2019-01-13
759,39,Cold,2019-01-13
760,40,Freezing,2019-01-13
761,41,Sleet,2019-01-13
762,42,Freezing,2019-01-13
763,43,Overcast,2019-01-13
764,44,Cloudy,2019-01-13
765,45,Cloudy,2019-01-13
766,46,Windy,2019-01-13
767,47,Windy,2019-01-13
768,48,Snowy,2019-01-13
769,49,Snowy,2019-01-13
770,50,Sleet,2019-01-13
771,51,Snowy,2019-01-13
772,52,Cloudy,2019-01-13
773,53,Overcast,2019-01-13
774,54,Freezing,2019-01-13
775,55,Cloudy,2019-01-13
776,56,Windy,2019-01-13
777,57,Sleet,2019-01-13
778,58,Overcast,2019-01-13
779,59,Cloudy,2019-01-13
780,60,Snowy,2019-01-13
781,1,Overcast,2019-01-14
782,2,Cold,2019-01-14
783,3,Cold,2019-01-14
784,4,Cold,2019-01-14
785,5,Cold,2019-01-14
786,6,Cloudy,2019-01-14
787,7,Cloudy,2019-01-14
788,8,Freezing,2019-01-14
789,9,Cloudy,2019-01-14
790,10,Freezing,2019-01-14
791,11,Cloudy,2019-01-14
792,12,Overcast,2019-01-14
793,13,Windy,2019-01-14
794,14,Freezing,2019-01-14
795,15,Freezing,2019-01-14
796,16,Sleet,2019-01-14
797,17,Windy,2019-01-14
798,18,Windy,2019-01-14
799,19,Cloudy,2019-01-14
800,20,Windy,2019-01-14
801,21,Freezing,2019-01-14
802,22,Overcast,2019-01-14
803,23,Freezing,2019-01-14
804,24,Overcast,2019-01-14
805,25,Freezing,2019-01-14
806,26,Windy,2019-01-14
807,27,Cloudy,2019-01-14
808,28,Sleet,2019-01-14
809,29,Windy,2019-01-14
810,30,Overcast,2019-01-14
811,31,Windy,2019-01-14
812,32,Windy,2019-01-14
813,33,Cloudy,2019-01-14
814,34,Freezing,2019-01-14
815,35,Freezing,2019-01-14
816,36,Freezing,2019-01-14
817,37,Snowy,2019-01-14
818,38,Cloudy,2019-01-14
819,39,Freezing,2019-01-14
820,40,Cold,2019-01-14
821,41,Snowy,2019-01-14
822,42,Cloudy,2019-01-14
823,43,Freezing,2019-01-14
824,44,Sleet,2019-01-14
825,45,Cold,2019-01-14
826,46,Overcast,2019-01-14
827,47,Cloudy,2019-01-14
828,48,Overcast,2019-01-14
829,49,Snowy,2019-01-14
830,50,Freezing,2019-01-14
831,51,Cold,2019-01-14
832,52,Sleet,2019-01-14
833,53,Cloudy,2019-01-14
834,54,Snowy,2019-01-14
835,55,Sleet,2019-01-14
836,56,Snowy,2019-01-14
837,57,Cold,2019-01-14
838,58,Cold,2019-01-14
839,59,Windy,2019-01-14
840,60,Overcast,2019-01-14
841,1,Snowy,2019-01-15
842,2,Freezing,2019-01-15
843,3,Cold,2019-01-15
844,4,Overcast,2019-01-15
845,5,Cold,2019-01-15
846,6,Sleet,2019-01-15
847,7,Sleet,2019-01-15
848,8,Windy,2019-01-15
849,9,Freezing,2019-01-15
850,10,Cloudy,2019-01-15
851,11,Sleet,2019-01-15
852,12,Snowy,2019-01-15
853,13,Windy,2019-01-15
854,14,Cold,2019-01-15
855,15,Cold,2019-01-15
856,16,Cloudy,2019-01-15
857,17,Overcast,2019-01-15
858,18,Freezing,2019-01-15
859,19,Freezing,2019-01-15
860,20,Freezing,2019-01-15
861,21,Freezing,2019-01-15
862,22,Cloudy,2019-01-15
863,23,Cloudy,2019-01-15
864,24,Cold,2019-01-15
865,25,Freezing,2019-01-15
866,26,Cloudy,2019-01-15
867,27,Overcast,2019-01-15
868,28,Windy,2019-01-15
869,29,Snowy,2019-01-15
870,30,Windy,2019-01-15
871,31,Cold,2019-01-15
872,32,Sleet,2019-01-15
873,33,Cold,2019-01-15
874,34,Windy,2019-01-15
875,35,Snowy,2019-01-15
876,36,Windy,2019-01-15
877,37,Sleet,2019-01-15
878,38,Windy,2019-01-15
879,39,Sleet,2019-01-15
880,40,Sleet,2019-01-15
881,41,Cloudy,2019-01-15
