event_id,store_id,event_name,start_date,finish_date
108,2,Friends and Family Discount Days,2021-12-07,2021-12-13
109,2,Seasonal Discount Event,2022-01-05,2022-01-09
110,2,Anniversary Sale,2022-02-09,2022-02-15
111,2,Anniversary Sale,2022-03-05,2022-03-09
112,2,Mega Sale,2022-04-04,2022-04-07
113,2,Grand Opening Celebration,2022-05-08,2022-05-12
114,2,Midnight Madness,2022-06-03,2022-06-08
115,2,Grand Opening Celebration,2022-07-05,2022-07-10
116,2,Inventory Liquidation Sale,2022-08-02,2022-08-05
117,2,Grand Opening Celebration,2022-09-01,2022-09-07
118,2,Anniversary Sale,2022-10-07,2022-10-13
119,2,Manager's Special,2022-11-04,2022-11-10
120,2,Inventory Liquidation Sale,2022-12-09,2022-12-16
121,2,Last Chance to Save,2023-01-03,2023-01-06
122,2,Buy One Get One Free (BOGO) Event,2023-02-02,2023-02-09
123,2,Friends and Family Discount Days,2023-03-01,2023-03-04
124,2,Inventory Liquidation Sale,2023-04-03,2023-04-10
125,2,Anniversary Sale,2023-05-09,2023-05-14
126,2,Inventory Liquidation Sale,2023-06-10,2023-06-17
127,2,Seasonal Discount Event,2023-07-01,2023-07-04
128,2,Manager's Special,2023-08-02,2023-08-08
129,2,Anniversary Sale,2023-09-06,2023-09-12
130,2,Buy One Get One Free (BOGO) Event,2023-10-08,2023-10-14
131,2,Seasonal Discount Event,2023-11-06,2023-11-13
132,2,Manager's Special,2023-12-06,2023-12-12
133,2,Customer Appreciation Week,2024-01-08,2024-01-15
134,2,Anniversary Sale,2024-02-04,2024-02-08
135,2,Grand Opening Celebration,2024-03-08,2024-03-13
136,2,Manager's Special,2024-04-10,2024-04-15
137,2,Inventory Liquidation Sale,2024-05-10,2024-05-13
138,2,Anniversary Sale,2024-06-10,2024-06-17
139,2,Seasonal Discount Event,2024-07-10,2024-07-17
140,2,Manager's Special,2024-08-04,2024-08-10
141,2,Mega Sale,2024-09-05,2024-09-12
142,2,Seasonal Discount Event,2024-10-07,2024-10-12
143,2,Flash Sale Frenzy,2024-11-04,2024-11-07
144,2,Mega Sale,2024-12-01,2024-12-06
145,3,Customer Appreciation Week,2019-01-04,2019-01-08
146,3,Buy One Get One Free (BOGO) Event,2019-02-04,2019-02-07
147,3,Buy One Get One Free (BOGO) Event,2019-03-10,2019-03-17
148,3,Flash Sale Frenzy,2019-04-01,2019-04-07
149,3,Anniversary Sale,2019-05-01,2019-05-04
150,3,Flash Sale Frenzy,2019-06-07,2019-06-13
151,3,Customer Appreciation Week,2019-07-06,2019-07-11
152,3,Inventory Liquidation Sale,2019-08-06,2019-08-10
153,3,Seasonal Discount Event,2019-09-10,2019-09-16
154,3,Buy One Get One Free (BOGO) Event,2019-10-02,2019-10-08
155,3,Midnight Madness,2019-11-09,2019-11-13
156,3,Customer Appreciation Week,2019-12-02,2019-12-05
157,3,Inventory Liquidation Sale,2020-01-03,2020-01-07
158,3,Anniversary Sale,2020-02-04,2020-02-09
159,3,Mega Sale,2020-03-03,2020-03-06
160,3,Inventory Liquidation Sale,2020-04-03,2020-04-09
161,3,Midnight Madness,2020-05-04,2020-05-07
162,3,Mega Sale,2020-06-01,2020-06-06
163,3,Mega Sale,2020-07-01,2020-07-08
164,3,Seasonal Discount Event,2020-08-09,2020-08-15
165,3,Seasonal Discount Event,2020-09-02,2020-09-05
166,3,Flash Sale Frenzy,2020-10-06,2020-10-13
167,3,Anniversary Sale,2020-11-05,2020-11-10
168,3,Seasonal Discount Event,2020-12-04,2020-12-07
169,3,Grand Opening Celebration,2021-01-06,2021-01-12
170,3,Inventory Liquidation Sale,2021-02-03,2021-02-06
171,3,Friends and Family Discount Days,2021-03-03,2021-03-09
172,3,Friends and Family Discount Days,2021-04-07,2021-04-14
173,3,Friends and Family Discount Days,2021-05-01,2021-05-08
174,3,Mega Sale,2021-06-02,2021-06-08
175,3,Grand Opening Celebration,2021-07-07,2021-07-11
176,3,Customer Appreciation Week,2021-08-03,2021-08-06
177,3,Customer Appreciation Week,2021-09-03,2021-09-09
178,3,Inventory Liquidation Sale,2021-10-04,2021-10-10
179,3,Friends and Family Discount Days,2021-11-02,2021-11-05
180,3,Inventory Liquidation Sale,2021-12-01,2021-12-07
181,3,Mega Sale,2022-01-07,2022-01-14
182,3,Manager's Special,2022-02-07,2022-02-12
183,3,Grand Opening Celebration,2022-03-05,2022-03-08
184,3,Buy One Get One Free (BOGO) Event,2022-04-08,2022-04-12
185,3,Customer Appreciation Week,2022-05-10,2022-05-15
186,3,Grand Opening Celebration,2022-06-09,2022-06-16
187,3,Customer Appreciation Week,2022-07-04,2022-07-10
188,3,Buy One Get One Free (BOGO) Event,2022-08-03,2022-08-08
189,3,Flash Sale Frenzy,2022-09-06,2022-09-12
190,3,Inventory Liquidation Sale,2022-10-07,2022-10-14
191,3,Last Chance to Save,2022-11-10,2022-11-16
192,3,Seasonal Discount Event,2022-12-08,2022-12-12
193,3,Manager's Special,2023-01-10,2023-01-15
194,3,Friends and Family Discount Days,2023-02-07,2023-02-13
195,3,Anniversary Sale,2023-03-04,2023-03-08
196,3,Manager's Special,2023-04-04,2023-04-10
197,3,Seasonal Discount Event,2023-05-01,2023-05-04
198,3,Buy One Get One Free (BOGO) Event,2023-06-01,2023-06-08
199,3,Customer Appreciation Week,2023-07-01,2023-07-07
200,3,Manager's Special,2023-08-02,2023-08-07
201,3,Manager's Special,2023-09-02,2023-09-09
202,3,Last Chance to Save,2023-10-07,2023-10-11
203,3,Flash Sale Frenzy,2023-11-04,2023-11-07
204,3,Manager's Special,2023-12-05,2023-12-11
205,3,Inventory Liquidation Sale,2024-01-03,2024-01-08
206,3,Seasonal Discount Event,2024-02-10,2024-02-16
207,3,Friends and Family Discount Days,2024-03-02,2024-03-07
208,3,Manager's Special,2024-04-10,2024-04-15
209,3,Manager's Special,2024-05-04,2024-05-08
210,3,Mega Sale,2024-06-05,2024-06-08
211,3,Grand Opening Celebration,2024-07-03,2024-07-10
212,3,Manager's Special,2024-08-01,2024-08-07
213,3,Flash Sale Frenzy,2024-09-09,2024-09-16
214,3,Friends and Family Discount Days,2024-10-06,2024-10-12
215,3,Grand Opening Celebration,2024-11-01,2024-11-05
216,3,Anniversary Sale,2024-12-10,2024-12-17
217,4,Anniversary Sale,2019-01-06,2019-01-09
218,4,Manager's Special,2019-02-09,2019-02-13
219,4,Buy One Get One Free (BOGO) Event,2019-03-04,2019-03-09
220,4,Last Chance to Save,2019-04-04,2019-04-10
221,4,Midnight Madness,2019-05-06,2019-05-12
222,4,Mega Sale,2019-06-01,2019-06-08
223,4,Inventory Liquidation Sale,2019-07-08,2019-07-15
224,4,Manager's Special,2019-08-04,2019-08-09
225,4,Inventory Liquidation Sale,2019-09-03,2019-09-08
226,4,Seasonal Discount Event,2019-10-05,2019-10-08
227,4,Seasonal Discount Event,2019-11-07,2019-11-13
228,4,Grand Opening Celebration,2019-12-03,2019-12-06
229,4,Mega Sale,2020-01-08,2020-01-13
230,4,Midnight Madness,2020-02-01,2020-02-08
231,4,Grand Opening Celebration,2020-03-05,2020-03-11
232,4,Buy One Get One Free (BOGO) Event,2020-04-03,2020-04-10
233,4,Manager's Special,2020-05-04,2020-05-08
234,4,Grand Opening Celebration,2020-06-09,2020-06-13
235,4,Seasonal Discount Event,2020-07-05,2020-07-12
236,4,Inventory Liquidation Sale,2020-08-01,2020-08-08
237,4,Seasonal Discount Event,2020-09-03,2020-09-10
238,4,Customer Appreciation Week,2020-10-02,2020-10-08
239,4,Manager's Special,2020-11-03,2020-11-10
240,4,Seasonal Discount Event,2020-12-10,2020-12-13
241,4,Mega Sale,2021-01-05,2021-01-10
242,4,Buy One Get One Free (BOGO) Event,2021-02-09,2021-02-13
243,4,Grand Opening Celebration,2021-03-03,2021-03-09
244,4,Inventory Liquidation Sale,2021-04-04,2021-04-08
245,4,Friends and Family Discount Days,2021-05-03,2021-05-08
246,4,Mega Sale,2021-06-02,2021-06-06
247,4,Manager's Special,2021-07-09,2021-07-15
248,4,Grand Opening Celebration,2021-08-07,2021-08-11
249,4,Buy One Get One Free (BOGO) Event,2021-09-01,2021-09-06
250,4,Friends and Family Discount Days,2021-10-10,2021-10-16
251,4,Seasonal Discount Event,2021-11-05,2021-11-10
252,4,Inventory Liquidation Sale,2021-12-07,2021-12-12
253,4,Seasonal Discount Event,2022-01-03,2022-01-07
254,4,Buy One Get One Free (BOGO) Event,2022-02-07,2022-02-14
255,4,Grand Opening Celebration,2022-03-09,2022-03-14
256,4,Friends and Family Discount Days,2022-04-07,2022-04-14
257,4,Flash Sale Frenzy,2022-05-02,2022-05-08
258,4,Customer Appreciation Week,2022-06-02,2022-06-08
259,4,Friends and Family Discount Days,2022-07-04,2022-07-09
260,4,Seasonal Discount Event,2022-08-03,2022-08-10
261,4,Buy One Get One Free (BOGO) Event,2022-09-06,2022-09-11
262,4,Manager's Special,2022-10-08,2022-10-11
263,4,Seasonal Discount Event,2022-11-06,2022-11-09
264,4,Manager's Special,2022-12-01,2022-12-06
265,4,Inventory Liquidation Sale,2023-01-05,2023-01-10
266,4,Seasonal Discount Event,2023-02-09,2023-02-12
267,4,Inventory Liquidation Sale,2023-03-07,2023-03-13
268,4,Buy One Get One Free (BOGO) Event,2023-04-09,2023-04-15
269,4,Mega Sale,2023-05-05,2023-05-08
270,4,Midnight Madness,2023-06-09,2023-06-13
271,4,Friends and Family Discount Days,2023-07-03,2023-07-09
272,4,Grand Opening Celebration,2023-08-01,2023-08-07
273,4,Mega Sale,2023-09-04,2023-09-08
274,4,Customer Appreciation Week,2023-10-10,2023-10-15
275,4,Mega Sale,2023-11-03,2023-11-07
276,4,Buy One Get One Free (BOGO) Event,2023-12-06,2023-12-10
277,4,Buy One Get One Free (BOGO) Event,2024-01-09,2024-01-16
278,4,Friends and Family Discount Days,2024-02-07,2024-02-10
279,4,Manager's Special,2024-03-04,2024-03-09
280,4,Midnight Madness,2024-04-05,2024-04-08
281,4,Inventory Liquidation Sale,2024-05-07,2024-05-12
282,4,Buy One Get One Free (BOGO) Event,2024-06-07,2024-06-10
283,4,Buy One Get One Free (BOGO) Event,2024-07-02,2024-07-05
284,4,Manager's Special,2024-08-10,2024-08-13
285,4,Anniversary Sale,2024-09-02,2024-09-07
286,4,Manager's Special,2024-10-08,2024-10-12
287,4,Last Chance to Save,2024-11-02,2024-11-06
288,4,Last Chance to Save,2024-12-09,2024-12-13
289,5,Customer Appreciation Week,2019-01-09,2019-01-14
290,5,Buy One Get One Free (BOGO) Event,2019-02-09,2019-02-12
291,5,Manager's Special,2019-03-02,2019-03-06
292,5,Inventory Liquidation Sale,2019-04-08,2019-04-11
293,5,Flash Sale Frenzy,2019-05-08,2019-05-14
294,5,Seasonal Discount Event,2019-06-02,2019-06-07
295,5,Grand Opening Celebration,2019-07-09,2019-07-14
296,5,Midnight Madness,2019-08-10,2019-08-13
297,5,Last Chance to Save,2019-09-02,2019-09-08
298,5,Buy One Get One Free (BOGO) Event,2019-10-05,2019-10-11
299,5,Last Chance to Save,2019-11-05,2019-11-08
300,5,Mega Sale,2019-12-01,2019-12-05
301,5,Anniversary Sale,2020-01-09,2020-01-16
302,5,Seasonal Discount Event,2020-02-03,2020-02-07
303,5,Last Chance to Save,2020-03-01,2020-03-07
304,5,Buy One Get One Free (BOGO) Event,2020-04-02,2020-04-09
305,5,Last Chance to Save,2020-05-07,2020-05-12
306,5,Mega Sale,2020-06-05,2020-06-08
307,5,Flash Sale Frenzy,2020-07-10,2020-07-14
308,5,Inventory Liquidation Sale,2020-08-07,2020-08-12
309,5,Customer Appreciation Week,2020-09-03,2020-09-09
310,5,Manager's Special,2020-10-06,2020-10-13
311,5,Inventory Liquidation Sale,2020-11-03,2020-11-10
312,5,Anniversary Sale,2020-12-03,2020-12-07
313,5,Mega Sale,2021-01-07,2021-01-12
314,5,Grand Opening Celebration,2021-02-03,2021-02-09
315,5,Anniversary Sale,2021-03-01,2021-03-08
316,5,Anniversary Sale,2021-04-06,2021-04-13
317,5,Mega Sale,2021-05-01,2021-05-04
318,5,Mega Sale,2021-06-09,2021-06-16
319,5,Anniversary Sale,2021-07-01,2021-07-05
320,5,Anniversary Sale,2021-08-01,2021-08-06
321,5,Midnight Madness,2021-09-08,2021-09-15
322,5,Flash Sale Frenzy,2021-10-09,2021-10-15
323,5,Mega Sale,2021-11-08,2021-11-12
324,5,Seasonal Discount Event,2021-12-03,2021-12-06
325,5,Midnight Madness,2022-01-01,2022-01-07
326,5,Friends and Family Discount Days,2022-02-01,2022-02-08
327,5,Friends and Family Discount Days,2022-03-07,2022-03-14
328,5,Seasonal Discount Event,2022-04-03,2022-04-07
329,5,Midnight Madness,2022-05-10,2022-05-16
330,5,Grand Opening Celebration,2022-06-07,2022-06-11
331,5,Friends and Family Discount Days,2022-07-06,2022-07-11
332,5,Friends and Family Discount Days,2022-08-06,2022-08-09
333,5,Last Chance to Save,2022-09-09,2022-09-12
334,5,Inventory Liquidation Sale,2022-10-01,2022-10-05
335,5,Inventory Liquidation Sale,2022-11-03,2022-11-10
336,5,Manager's Special,2022-12-03,2022-12-10
337,5,Buy One Get One Free (BOGO) Event,2023-01-03,2023-01-10
338,5,Grand Opening Celebration,2023-02-04,2023-02-09
339,5,Mega Sale,2023-03-04,2023-03-09
340,5,Last Chance to Save,2023-04-03,2023-04-09
341,5,Midnight Madness,2023-05-09,2023-05-16
342,5,Manager's Special,2023-06-09,2023-06-15
343,5,Manager's Special,2023-07-05,2023-07-12
344,5,Customer Appreciation Week,2023-08-06,2023-08-13
345,5,Friends and Family Discount Days,2023-09-01,2023-09-08
346,5,Flash Sale Frenzy,2023-10-04,2023-10-08
347,5,Customer Appreciation Week,2023-11-06,2023-11-13
348,5,Mega Sale,2023-12-06,2023-12-12
349,5,Flash Sale Frenzy,2024-01-09,2024-01-13
350,5,Buy One Get One Free (BOGO) Event,2024-02-07,2024-02-11
351,5,Manager's Special,2024-03-09,2024-03-16
352,5,Friends and Family Discount Days,2024-04-07,2024-04-10
353,5,Manager's Special,2024-05-10,2024-05-13
354,5,Customer Appreciation Week,2024-06-06,2024-06-13
355,5,Inventory Liquidation Sale,2024-07-06,2024-07-10
356,5,Anniversary Sale,2024-08-03,2024-08-10
357,5,Grand Opening Celebration,2024-09-02,2024-09-07
358,5,Seasonal Discount Event,2024-10-10,2024-10-17
359,5,Manager's Special,2024-11-01,2024-11-08
360,5,Buy One Get One Free (BOGO) Event,2024-12-02,2024-12-08
361,6,Inventory Liquidation Sale,2019-01-10,2019-01-15
362,6,Manager's Special,2019-02-03,2019-02-06
363,6,Flash Sale Frenzy,2019-03-08,2019-03-15
364,6,Mega Sale,2019-04-10,2019-04-13
365,6,Buy One Get One Free (BOGO) Event,2019-05-06,2019-05-11
366,6,Mega Sale,2019-06-02,2019-06-05
367,6,Mega Sale,2019-07-10,2019-07-13
368,6,Inventory Liquidation Sale,2019-08-03,2019-08-10
369,6,Buy One Get One Free (BOGO) Event,2019-09-06,2019-09-13
370,6,Buy One Get One Free (BOGO) Event,2019-10-09,2019-10-15
371,6,Buy One Get One Free (BOGO) Event,2019-11-10,2019-11-15
372,6,Anniversary Sale,2019-12-01,2019-12-08
373,6,Flash Sale Frenzy,2020-01-07,2020-01-11
374,6,Mega Sale,2020-02-09,2020-02-15
375,6,Customer Appreciation Week,2020-03-09,2020-03-12
376,6,Inventory Liquidation Sale,2020-04-03,2020-04-06
377,6,Anniversary Sale,2020-05-09,2020-05-12
378,6,Customer Appreciation Week,2020-06-08,2020-06-11
379,6,Friends and Family Discount Days,2020-07-10,2020-07-16
380,6,Buy One Get One Free (BOGO) Event,2020-08-04,2020-08-09
381,6,Inventory Liquidation Sale,2020-09-06,2020-09-10
382,6,Manager's Special,2020-10-10,2020-10-14
383,6,Customer Appreciation Week,2020-11-06,2020-11-11
384,6,Manager's Special,2020-12-07,2020-12-14
385,6,Anniversary Sale,2021-01-09,2021-01-14
386,6,Grand Opening Celebration,2021-02-10,2021-02-13
387,6,Anniversary Sale,2021-03-02,2021-03-07
388,6,Seasonal Discount Event,2021-04-09,2021-04-12
389,6,Flash Sale Frenzy,2021-05-04,2021-05-10
390,6,Flash Sale Frenzy,2021-06-05,2021-06-09
391,6,Buy One Get One Free (BOGO) Event,2021-07-10,2021-07-15
392,6,Inventory Liquidation Sale,2021-08-01,2021-08-04
393,6,Flash Sale Frenzy,2021-09-06,2021-09-09
394,6,Last Chance to Save,2021-10-01,2021-10-07
395,6,Manager's Special,2021-11-08,2021-11-12
396,6,Buy One Get One Free (BOGO) Event,2021-12-05,2021-12-11
397,6,Anniversary Sale,2022-01-10,2022-01-15
398,6,Inventory Liquidation Sale,2022-02-08,2022-02-12
399,6,Buy One Get One Free (BOGO) Event,2022-03-09,2022-03-15
400,6,Inventory Liquidation Sale,2022-04-05,2022-04-11
401,6,Grand Opening Celebration,2022-05-04,2022-05-07
402,6,Manager's Special,2022-06-09,2022-06-13
403,6,Customer Appreciation Week,2022-07-08,2022-07-12
404,6,Manager's Special,2022-08-09,2022-08-16
405,6,Anniversary Sale,2022-09-10,2022-09-13
406,6,Manager's Special,2022-10-01,2022-10-04
407,6,Seasonal Discount Event,2022-11-07,2022-11-11
408,6,Buy One Get One Free (BOGO) Event,2022-12-08,2022-12-13
409,6,Manager's Special,2023-01-02,2023-01-09
410,6,Anniversary Sale,2023-02-05,2023-02-09
411,6,Anniversary Sale,2023-03-03,2023-03-07
412,6,Midnight Madness,2023-04-01,2023-04-06
413,6,Last Chance to Save,2023-05-08,2023-05-13
414,6,Inventory Liquidation Sale,2023-06-04,2023-06-08
415,6,Grand Opening Celebration,2023-07-09,2023-07-13
416,6,Mega Sale,2023-08-08,2023-08-14
417,6,Customer Appreciation Week,2023-09-08,2023-09-13
418,6,Seasonal Discount Event,2023-10-06,2023-10-11
419,6,Flash Sale Frenzy,2023-11-06,2023-11-13
420,6,Grand Opening Celebration,2023-12-09,2023-12-14
421,6,Grand Opening Celebration,2024-01-09,2024-01-14
422,6,Anniversary Sale,2024-02-07,2024-02-13
423,6,Buy One Get One Free (BOGO) Event,2024-03-09,2024-03-15
424,6,Mega Sale,2024-04-03,2024-04-09
425,6,Buy One Get One Free (BOGO) Event,2024-05-09,2024-05-15
426,6,Friends and Family Discount Days,2024-06-04,2024-06-07
427,6,Anniversary Sale,2024-07-01,2024-07-05
428,6,Customer Appreciation Week,2024-08-06,2024-08-11
429,6,Grand Opening Celebration,2024-09-05,2024-09-10
430,6,Midnight Madness,2024-10-04,2024-10-09
431,6,Inventory Liquidation Sale,2024-11-10,2024-11-17
432,6,Customer Appreciation Week,2024-12-03,2024-12-10
433,7,Buy One Get One Free (BOGO) Event,2019-01-09,2019-01-14
434,7,Buy One Get One Free (BOGO) Event,2019-02-08,2019-02-11
435,7,Buy One Get One Free (BOGO) Event,2019-03-02,2019-03-07
436,7,Customer Appreciation Week,2019-04-01,2019-04-06
437,7,Manager's Special,2019-05-07,2019-05-11
438,7,Midnight Madness,2019-06-08,2019-06-11
439,7,Grand Opening Celebration,2019-07-10,2019-07-15
440,7,Manager's Special,2019-08-02,2019-08-05
441,7,Mega Sale,2019-09-02,2019-09-09
442,7,Grand Opening Celebration,2019-10-02,2019-10-06
443,7,Mega Sale,2019-11-08,2019-11-13
444,7,Manager's Special,2019-12-10,2019-12-15
445,7,Customer Appreciation Week,2020-01-10,2020-01-15
446,7,Flash Sale Frenzy,2020-02-03,2020-02-10
447,7,Mega Sale,2020-03-02,2020-03-06
448,7,Midnight Madness,2020-04-03,2020-04-08
449,7,Friends and Family Discount Days,2020-05-10,2020-05-17
450,7,Inventory Liquidation Sale,2020-06-08,2020-06-11
451,7,Friends and Family Discount Days,2020-07-09,2020-07-12
452,7,Friends and Family Discount Days,2020-08-07,2020-08-13
453,7,Seasonal Discount Event,2020-09-08,2020-09-13
454,7,Midnight Madness,2020-10-07,2020-10-10
455,7,Buy One Get One Free (BOGO) Event,2020-11-09,2020-11-16
456,7,Anniversary Sale,2020-12-10,2020-12-17
457,7,Customer Appreciation Week,2021-01-10,2021-01-14
458,7,Inventory Liquidation Sale,2021-02-02,2021-02-07
459,7,Midnight Madness,2021-03-07,2021-03-14
460,7,Buy One Get One Free (BOGO) Event,2021-04-08,2021-04-13
461,7,Last Chance to Save,2021-05-04,2021-05-09
462,7,Inventory Liquidation Sale,2021-06-07,2021-06-14
463,7,Mega Sale,2021-07-10,2021-07-14
464,7,Seasonal Discount Event,2021-08-09,2021-08-15
465,7,Friends and Family Discount Days,2021-09-07,2021-09-10
466,7,Seasonal Discount Event,2021-10-09,2021-10-15
467,7,Inventory Liquidation Sale,2021-11-07,2021-11-12
468,7,Seasonal Discount Event,2021-12-06,2021-12-13
469,7,Manager's Special,2022-01-01,2022-01-08
470,7,Buy One Get One Free (BOGO) Event,2022-02-04,2022-02-07
471,7,Last Chance to Save,2022-03-07,2022-03-12
472,7,Flash Sale Frenzy,2022-04-02,2022-04-08
473,7,Last Chance to Save,2022-05-01,2022-05-04
474,7,Customer Appreciation Week,2022-06-04,2022-06-07
475,7,Flash Sale Frenzy,2022-07-07,2022-07-10
476,7,Customer Appreciation Week,2022-08-06,2022-08-12
477,7,Buy One Get One Free (BOGO) Event,2022-09-01,2022-09-05
478,7,Manager's Special,2022-10-09,2022-10-14
479,7,Customer Appreciation Week,2022-11-10,2022-11-15
480,7,Mega Sale,2022-12-08,2022-12-14
481,7,Last Chance to Save,2023-01-06,2023-01-11
482,7,Last Chance to Save,2023-02-02,2023-02-06
483,7,Grand Opening Celebration,2023-03-09,2023-03-12
484,7,Midnight Madness,2023-04-01,2023-04-07
